id,entity,relation,entityTo
r1,朱亚文,妻子,沈佳妮
r2,朱亚文,好友,罗晋
r3,朱亚文,搭档,李小冉
r4,朱亚文,搭档,郝蕾
r5,朱亚文,搭档,李佳航
r6,朱亚文,搭档,袁文康
r7,朱亚文,搭档,朱铁
r8,李克勤,妻子,卢淑仪
r9,李克勤,好友,温拿乐队
r10,李克勤,好友,黄贯中
r11,李克勤,好友,谭咏麟
r12,陈奕迅,妻子,徐濠萦
r13,陈奕迅,女儿,陈康堤
r14,陈奕迅,父亲,陈裘大
r15,陈奕迅,母亲,陆雁鸿
r16,陈奕迅,哥哥,陈泽迅
r17,陈奕迅,好友,容祖儿
r18,陈奕迅,好友,谢霆锋
r19,陈奕迅,好友,黄家强
r20,陈奕迅,好友,冯德伦
r21,陈奕迅,搭档,胡彦斌
r22,陈奕迅,搭档,莫文蔚
r23,陈奕迅,搭档,斯琴高丽
r24,陈奕迅,搭档,林夕
r25,陈奕迅,搭档,张惠妹
r26,陈奕迅,经纪人,陈家瑛
r27,陈奕迅,老师,潘乃宪
r28,陈奕迅,学生,赵谨俨
r29,陈奕迅,师妹,王心凌
r30,沈佳妮,丈夫,朱亚文
r31,沈佳妮,好友,刘芸
r32,沈佳妮,搭档,蒲冰墨
r33,沈佳妮,同学,白百何
r34,沈佳妮,同学,曹曦文
r35,沈佳妮,同学,童瑶
r36,林夕,搭档,小柯
r37,林夕,搭档,陈奕迅
r38,林夕,搭档,杨千嬅
r39,林夕,搭档,张国荣
r40,林夕,学生,林若宁
r41,刘芸,丈夫,郑钧
r42,刘芸,儿子,郑熙岳
r43,刘芸,好友,吴岱凝
r44,刘芸,搭档,赵子琪
r45,曹曦文,前男友,陈思诚
r46,曹曦文,好友,董洁
r47,曹曦文,同学,唐嫣
r48,曹曦文,同学,杨烁
r49,曹曦文,同学,白百何
r50,曹曦文,同学,文章
r51,曹曦文,同学,沈佳妮
r52,曹曦文,同学,童瑶
r53,袁文康,搭档,朱亚文
r54,袁文康,搭档,陈晓东
r55,林志炫,好友,谢宇书
r56,林志炫,好友,詹兆源
r57,林志炫,好友,楼南蔚
r58,林志炫,好友,萧煌奇
r59,林志炫,搭档,韩红
r60,林志炫,搭档,沈梦辰
r61,林志炫,搭档,伍思凯
r62,陈晓东,妻子,王妤娴
r63,陈晓东,前女友,魏蔓
r64,陈晓东,前女友,裴唯莹
r65,陈晓东,前女友,张柏芝
r66,陈晓东,搭档,唐艺昕
r67,陈晓东,搭档,尹航
r68,陈晓东,搭档,袁文康
r69,陈晓东,搭档,姚星彤
r70,陈晓东,老师,戴思聪
r71,魏蔓,前男友,陈晓东
r72,魏蔓,搭档,陈乃荣
r73,杨千嬅,丈夫,丁子高
r74,杨千嬅,前男友,郑中基
r75,杨千嬅,堂哥,丁子峻
r76,杨千嬅,好友,古天乐
r77,杨千嬅,好友,梁汉文
r78,杨千嬅,好友,任贤齐
r79,杨千嬅,搭档,杨幂
r80,杨千嬅,搭档,林夕
r81,杨千嬅,搭档,余文乐
r82,郝蕾,前夫,李光洁
r83,郝蕾,前夫,刘烨
r84,郝蕾,前男友,邓超
r85,郝蕾,好友,黄奕
r86,郝蕾,好友,张译
r87,郝蕾,搭档,朱亚文
r88,郝蕾,搭档,周杰
r89,郝蕾,搭档,汤唯
r90,郝蕾,搭档,冯绍峰
r91,郝蕾,同学,聂远
r92,冯绍峰,儿子,想想
r93,冯绍峰,前妻,赵丽颖
r94,冯绍峰,前女友,倪妮
r95,冯绍峰,好友,杨幂
r96,冯绍峰,好友,袁姗姗
r97,冯绍峰,搭档,范冰冰
r98,冯绍峰,搭档,宋茜
r99,冯绍峰,搭档,麦迪娜
r100,冯绍峰,搭档,汪铎
r101,冯绍峰,搭档,黄晓明
r102,冯绍峰,搭档,蓝心妍
r103,冯绍峰,搭档,郝蕾
r104,冯绍峰,搭档,林依晨
r105,冯绍峰,搭档,隋俊波
r106,冯绍峰,搭档,陈思诚
r107,冯绍峰,搭档,班嘉佳
r108,冯绍峰,同学,佟大为
r109,冯绍峰,同学,严屹宽
r110,王彦霖,妻子,艾佳妮
r111,王彦霖,好友,黄子韬
r112,王彦霖,好友,陈立农
r113,莫文蔚,丈夫,Johannes
r114,莫文蔚,父亲,莫天赐
r115,莫文蔚,母亲,莫何敏仪
r116,莫文蔚,前男友,周星驰
r117,莫文蔚,前男友,冯德伦
r118,莫文蔚,好友,黄贯中
r119,莫文蔚,好友,任贤齐
r120,莫文蔚,搭档,吴佩慈
r121,莫文蔚,搭档,陈奕迅
r122,莫文蔚,搭档,杜汶泽
r123,谭咏麟,妻子,杨洁薇
r124,谭咏麟,儿子,谭晓风
r125,谭咏麟,父亲,谭江柏
r126,谭咏麟,女友,朱咏婷
r127,谭咏麟,义子,关楚耀
r128,谭咏麟,队友,温拿乐队
r129,谭咏麟,好友,彭健新
r130,谭咏麟,好友,尹志强
r131,谭咏麟,好友,李克勤
r132,谭咏麟,好友,曾志伟
r133,谭咏麟,好友,陈百祥
r134,韩红,前男友,李延亮
r135,韩红,好友,蒋欣
r136,韩红,好友,谭维维
r137,韩红,好友,赵薇
r138,韩红,好友,葛优
r139,韩红,好友,孙楠
r140,韩红,好友,张卫健
r141,韩红,好友,苗圃
r142,韩红,搭档,林志炫
r143,韩红,搭档,金武林
r144,韩红,搭档,林乔
r145,韩红,老师,谭盾
r146,韩红,老师,李双江
r147,韩红,学生,许之糯
r148,韩红,学生,马海生
r149,韩红,学生,谭佑铭
r150,韩红,学生,曹芙嘉
r151,韩红,学生,孙丹
r152,韩红,学生,李祥祥
r153,李佳航,妻子,李晟
r154,李佳航,好友,贾乃亮
r155,李佳航,搭档,朱亚文
r156,李佳航,搭档,陈赫
r157,李佳航,老师,琼瑶
r158,李晟,丈夫,李佳航
r159,李晟,好友,万茜
r160,李晟,好友,海陆
r161,李晟,好友,姜尘
r162,李晟,好友,孙耀琦
r163,李晟,搭档,阚清子
r164,李晟,搭档,麦迪娜
r165,李晟,搭档,何炅
r166,李晟,搭档,朴恩惠
r167,李晟,搭档,王翔弘
r168,李晟,搭档,琼瑶
r169,李晟,搭档,田家达
r170,李晟,搭档,傅艺伟
r171,李晟,搭档,高梓淇
r172,李晟,搭档,邱泽
r173,蒲冰墨,搭档,谢娜
r174,蒲冰墨,搭档,孙俪
r175,蒲冰墨,搭档,奚辰华
r176,蒲冰墨,搭档,沈佳妮
r177,蒲冰墨,同学,朱一龙
r178,王祖蓝,妻子,李亚男
r179,王祖蓝,女儿,王天韵
r180,王祖蓝,搭档,阮兆祥
r181,王祖蓝,搭档,童飞
r182,王祖蓝,搭档,何雁诗
r183,王祖蓝,搭档,万绮雯
r184,王祖蓝,搭档,李曼筠
r185,王祖蓝,搭档,郑中基
r186,王祖蓝,搭档,曾志伟
r187,周深,好友,刘明湘
r188,周深,老师,那英
r189,苗圃,丈夫,陈义红
r190,苗圃,父亲,苗德发
r191,苗圃,好友,韩红
r192,苗圃,搭档,张家辉
r193,苗圃,搭档,颜丙燕
r194,苗圃,搭档,罗晋
r195,苗圃,搭档,英达
r196,沈梦辰,男友,杜海涛
r197,沈梦辰,好友,宋茜
r198,沈梦辰,搭档,李泰
r199,沈梦辰,搭档,林志炫
r200,沈梦辰,合作人,赵泳鑫
r201,赵子琪,丈夫,路金波
r202,赵子琪,搭档,莫小奇
r203,赵子琪,搭档,刘芸
r204,赵子琪,搭档,陈佳妍
r205,隋俊波,好友,任重
r206,隋俊波,搭档,林雨申
r207,隋俊波,搭档,刘恺威
r208,隋俊波,搭档,冯绍峰
r209,蒋欣,前男友,叶祖新
r210,蒋欣,好友,刘亦菲
r211,蒋欣,好友,韩红
r212,蒋欣,好友,牟湘盈
r213,蒋欣,好友,张雨提
r214,蒋欣,好友,童瑶
r215,蒋欣,搭档,孙俪
r216,蒋欣,搭档,张宇菲
r217,蒋欣,搭档,梁振伦
r218,蒋欣,搭档,曹卫宇
r219,蒋欣,搭档,黄澄澄
